subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
why do people with high iqs tend to abuse alcohol more than people with low iqs?,,,,,,,
i wanted to try alcohol but im a muslim read on?,so the main question is are you allowed to drink alcohol to see how it feels to be in that state? ,,,,,,
what sign is the most susceptible to becoming a drug addict/alcoholic?,,,,,,,
does anyone know if got2b glossy is alcohol free?,,,,,,,
im an alcoholic i need tips on how to quit?,,,,,,,
"im virgo male, im incline into drugs and alcohol. i disappear, and im a heartbreaker. i need help.?",,,,,,,
"i stole a beer from her, should i drink it and forget this all happened?",,,,,,,
"why is weed illegal, yet alcohol, tobacco, and caffeine is legal?",how many people have you seen addicted to weed?,,,,,,
discussion about marijuana and alcohol?,,,,,,,
can there be a psychological breakdown following an alcoholic relapse?,,,,,,,
"im a 21yr old male and never drank an alcoholic drink or smoked anything, am i weird?",,,,,,,
why are only some people who drink alcohol addicted to it?,,,,,,,
dreaming about alcohol?,does this mean that my body is addicted to it or is my mind?,,,,,,
how to obtain alcohol when you cant afford it?,what are other methods of obtaining alcohol [other than peppermint extract and such. ],,,,,,
"why does mitt romney smoke tobacco, do drugs and abuse alcohol?",,,,,,,
please help with my pdhpe assignment on alcohol and binge drinking?,what are some strategies to avoid binge drinking?,what are the harms associated with binge drinking?,,,,,
"can anyone produce a logical argument for why alcohol should be legal, but not marijuana?",,,,,,,
no one is doing anything to help his alcohol/drug abuse problem.?,,,,,,,
drinking non alcoholic beer (300ml) daily with 100gm chicken and 10 min exercise make me to put weight?,,,,,,,
"has alcohol effects on young children been documented if so, what is it?",,,,,,,
"if alcohol is bad for you, why does it feel so good lol (im not driving)?",,,,,,,
i have red cheeks help isit because of alcohol?,"i havent really taken any breaks so maybe my face is red because of alcohol if that is even possible, so how do i get rid of this or even treat this? ",,,,,,
rubbing alcohol addiction?,"if i stop my addiction, will i be fine?",,,,,,
i have brother whos is a drug and alcohol addict and lives off my parents how can i help him ?,i just dont want him to live his life this way forever and my parents are getting old and he has cause a lot of problems between my parents bcuz of the damages hes cause and the way he is my mom always stresses and worries about him what can we do help him? ,,,,,,
is alcohol bad in small amounts?,,,,,,,
do you think i am starting to develop and addiction to alcohol and marijuana?,"do you think i may have a problem, or perhaps underlying problem as to why i use these substances when i do?",,,,,,
"i used to suffer from alcohol abuse, what supplements would you suggest for the health of my brain?","my question is, what supplements would you suggest to, at least, lower the loss of brain cells for the rest of my life?",,,,,,
what is a psychologists specializing in drug and alcohol abuse called?,and what type of high school classes should i take to get into a college that would be good for this career? ,,,,,,
what is the difference between a drug and alcohol counselor and a substance abuse couselor?,,,,,,,
"once again, should i start drinking alcohol to relax?","does alcohol interfere with medication and if you take medication which says you should not drink, is it safe to do so.",how can i increase my tolerance towards it? ,,,,,
anyone whos ever been addicted to alcohol and or hard drugs?,,,,,,,
am i an alcoholic or just having fun?,am i an alcoholic or are people just judgmental?,,,,,,
how do i get over my insecurities toward the consumption of alcohol?,"i mainly base this around my dad who was an alcoholic and i feel bad and i get really really angry when my girlfriend says that she wants to go drinkining with friends, this usually after the anger has settled its days of feeling depressed and really sad and she hasnt even gone out yet, how do i get over them and confront my fears and beat them? ",,,,,,
can alcohol make people with post traumatic distress feel worse after drinking too much?,,,,,,,
what are your opinions on alcohol?,"but anyway, what are the reasons why you drink?",and if you dont drink then what are your reasons?,,,,,
would someone please enlighten me on my alcohol blackouts alcoholism abuse?,,,,,,,
please help me identify what substance abuse is being used if you think its more than just alcohol. he alread?,,,,,,,
"addicted to alcohol, kindly tell the ways to save my father?","my question is ""is there any possibilities of him to stop drinking alcohol who has been drinking more than 42years"".",,,,,,
do americans and europeans have a completely different view on drinking alcohol?,,,,,,,
are there free or low cost in-patient alcohol rehab centers in texas?,,,,,,,
what should i do to make my brother leave his alcoholic and smoking habbits?,,,,,,,
is it more likely that ive gotten addicted to alcohol?,,,,,,,
am i alcoholic if i put this down?,,,,,,,
study on drug or alcohol abuse among women?,my question is were your reasons for using because of your issues at home how and why did you start.,,,,,,
best way to purchase alcohol as an underage drinker?,,,,,,,
"serious alcohol withdrawals, cant find any help?",have any other people gotten though this and how did they do it?,,,,,,
what dose alcohol do to your body?,and if u only drink alittle evey ones in awile will it still harm u?,,,,,,
is mixing painkillers and alcohol really that bad?,,,,,,,
"im 14 and like alcohol, i dont want this to go any farther. what can i do?",,,,,,,
i need a movie about alcoholic parents to touch a father to bes heart!?,,,,,,,
my best friend is becoming a alcoholic?,can anyone give me advice on what i should do?,,,,,,
i helped out my ex after he had bad alcoholic spell...i callled the fire department they took him to the?,can someone help me and tell what i can do.,,,,,,
am i an alcoholic if i have a few drinks a day?,,,,,,,
"if alcohol causes brain damage, then why brain instructs people to consume alcohol?","is this called as ""malfunctioning of brain"" or ""self destruction of brain"" ?",,,,,,
can alcoholic substitutes (non alcoholic beer) combined with will power ...?,,,,,,,
am i an alcoholic or a genetic freak?,,,,,,,
how to stop drug and alcohol abuse at my high school?,,,,,,,
am i addicted to alcohol?,"i have had cravings to use alcohol and cigarettes to solve my problems since i was 11, but i never touched either of those things until i was 17.  is it possible that my ""addiction"" could be purely emotional?",,,,,,
"from what ive read, it takes 5 shots of alcohol chronically per hour to cause liver damage. true?",so what is the harm of drinking beer as i do?,,,,,,
can a women be happy with alcoholic men?,,,,,,,
"why would jesus pick alcohol ,to represent his blood,its a strange choice?",,,,,,,
can alcohol and drugs turn a person into a sexual abuser?,,,,,,,
can alcohol/drugs casue a person to...?,,,,,,,
alcohol abuse in the world was one of a big issues for this problems research topic?,what are some of problems on this topic for doing research why men are so tough and into assault and some negative thinking when they too much drink.,what are some of negative sides for this issues in society nowadays? ,,,,,
did alcohol cause me to have a seizure?,is it possible to abuse alcohol for years without having a seizure?,and is it possible to have an alcohol withdraw seizure then go two years abusing alcohol before having another?,,,,,
is my friend an alcoholic will pick best answer?,"is she becoming addicted, or just being a normal partier.","she will be 18 in 3 months and her mom and her future step dad have done everything to try to stop her from going out nothing works, she lies to there face and they never find out, what do i do? ",,,,,
my aunt is addicted to drugs and alcohol. /:?,,,,,,,
will my body recover from alcohol abuse?,,,,,,,
"im an alcoholic, i drink a liter of vodka a day.how long before this amount kills me?",,,,,,,
why are some ppl addicted to drugs/alcohol and some can quit?,,,,,,,
"i have given up smoking ,i dont drink alcohol, those thing i find easy to control but my weight is spiralling.?",i do exercise every day as i have a large dog that needs to be walked every day twice a day and i do enjoy it but it isnt enough can anyone out there help?,,,,,,
advantages and disadvantages of alcohol?,,,,,,,
"would it be fair to compare drinking alcohol, smoking and abusing prescription medication to church?",,,,,,,
should alcoholics be treated as obese people?,,,,,,,
does drinking a 3-pack of 24-oz coors light once a week make me an alcoholic?,,,,,,,
was the atf created because alcohol and tobacco would be illegal under the controlled substances act of 1970?,,,,,,,
i have never drank alcohol...am i weird?,,,,,,,
if you think your pregnant is it still sfae to drink alcohol?,if it is safe to drink if you think you are could it have any effects on the baby? ,,,,,,
"im an alcoholic, i think, but is it okay?",,,,,,,
what is worse for you health- alcohol or cigarettes?,,,,,,,
are children of alcoholics more susceptible to becoming alcoholics than the general population?,,,,,,,
should native americans be allowed to buy and consume alcohol?,native americans have a long history of alcohol abuse and to protect them should they be banned from consuming and buying alcohol much like the minimum drinking age law. ,,,,,,
how do alcoholics do it?,,,,,,,
how much alcohol until your liver starts to cause major problems?,so how long does it take to start really doing you liver damage and also to become an alcoholic?,,,,,,
"is there anything for alcohol withdrawal, medication recovery?",,,,,,,
should the dea and congress move quickly to ban alcohol before any more innocent children are harmed?,,,,,,,
do you think hes a alcoholic?,would you class him as an alcoholic?,,,,,,
why do so many people try alcohol?,,,,,,,
what is the difference between drugs and alcohol?,how can you be against one but not the other if they basically do the same thing?,,,,,,
